Время                                       Угловой преобразователь 3 COM8 - Абсолютная Угловой преобразователь 2 COM8 - Абсолютная Угловой преобразователь 1 COM8 - Абсолютная 
* 0                                          223°56´43´´                                 261°41´39´´                                 205°45´07´´                                
9735                                         224°01´59´´                                 262°05´23´´                                 207°54´18´´                                
9844                                         224°01´59´´                                 262°08´01´´                                 207°56´57´´                                
9953                                         224°01´59´´                                 262°08´01´´                                 207°56´57´´                                
10063                                        224°01´59´´                                 262°13´18´´                                 207°59´35´´                                
10172                                        224°01´59´´                                 262°21´12´´                                 207°59´35´´                                
10281                                        224°01´59´´                                 262°21´12´´                                 207°51´40´´                                
10391                                        224°01´59´´                                 262°15´56´´                                 207°51´40´´                                
10500                                        224°01´59´´                                 262°15´56´´                                 207°41´07´´                                
10610                                        224°01´59´´                                 262°15´56´´                                 207°41´07´´                                
10719                                        224°01´59´´                                 262°15´56´´                                 207°41´07´´                                
10828                                        224°01´59´´                                 262°26´29´´                                 208°02´13´´                                
10938                                        224°01´59´´                                 262°34´23´´                                 208°02´13´´                                
11047                                        224°01´59´´                                 262°34´23´´                                 208°04´51´´                                
11156                                        224°01´59´´                                 262°34´23´´                                 208°04´51´´                                
11266                                        224°01´59´´                                 262°34´23´´                                 208°25´57´´                                
11375                                        224°01´59´´                                 262°34´23´´                                 208°49´41´´                                
11485                                        224°01´59´´                                 262°34´23´´                                 208°49´41´´                                
11594                                        224°01´59´´                                 262°31´45´´                                 209°02´52´´                                
11703                                        224°01´59´´                                 263°00´45´´                                 209°02´52´´                                
11813                                        224°01´59´´                                 263°00´45´´                                 209°26´36´´                                
11922                                        224°01´59´´                                 263°16´34´´                                 209°34´30´´                                
12031                                        224°01´59´´                                 263°16´34´´                                 209°34´30´´                                
12141                                        224°01´59´´                                 263°24´29´´                                 209°37´08´´                                
12250                                        224°01´59´´                                 263°21´51´´                                 209°37´08´´                                
12360                                        224°01´59´´                                 263°21´51´´                                 209°26´36´´                                
12469                                        224°01´59´´                                 263°00´45´´                                 209°26´36´´                                
12578                                        224°01´59´´                                 263°00´45´´                                 209°18´41´´                                
12688                                        224°01´59´´                                 262°37´01´´                                 209°13´25´´                                
12797                                        224°01´59´´                                 262°29´07´´                                 209°13´25´´                                
12906                                        224°01´59´´                                 262°29´07´´                                 209°08´08´´                                
13016                                        224°01´59´´                                 262°29´07´´                                 209°08´08´´                                
13125                                        224°01´59´´                                 262°29´07´´                                 209°05´30´´                                
13235                                        224°01´59´´                                 262°29´07´´                                 209°05´30´´                                
13344                                        224°01´59´´                                 262°29´07´´                                 209°05´30´´                                
13453                                        224°01´59´´                                 262°18´34´´                                 209°05´30´´                                
13563                                        224°01´59´´                                 262°23´50´´                                 209°05´30´´                                
13672                                        224°01´59´´                                 262°23´50´´                                 209°05´30´´                                
13781                                        224°01´59´´                                 262°13´18´´                                 209°05´30´´                                
13891                                        224°01´59´´                                 262°13´18´´                                 209°13´25´´                                
14000                                        224°01´59´´                                 262°08´01´´                                 209°26´36´´                                
14110                                        224°01´59´´                                 262°08´01´´                                 209°26´36´´                                
14219                                        224°01´59´´                                 262°00´07´´                                 209°29´14´´                                
14328                                        224°01´59´´                                 261°52´12´´                                 209°29´14´´                                
14438                                        224°01´59´´                                 261°52´12´´                                 209°34´30´´                                
14547                                        224°01´59´´                                 261°49´34´´                                 209°39´47´´                                
14656                                        224°01´59´´                                 261°49´34´´                                 209°39´47´´                                
14766                                        224°01´59´´                                 262°05´23´´                                 209°39´47´´                                
14875                                        224°01´59´´                                 262°42´18´´                                 209°39´47´´                                
14985                                        224°01´59´´                                 262°42´18´´                                 209°47´41´´                                
15094                                        224°01´59´´                                 262°58´07´´                                 209°47´41´´                                
15203                                        224°01´59´´                                 262°58´07´´                                 209°39´47´´                                
15313                                        224°01´59´´                                 263°06´02´´                                 209°31´52´´                                
15422                                        224°01´59´´                                 262°44´56´´                                 209°31´52´´                                
15531                                        224°01´59´´                                 262°44´56´´                                 209°29´14´´                                
15641                                        224°01´59´´                                 262°23´50´´                                 209°29´14´´                                
15750                                        224°01´59´´                                 262°23´50´´                                 209°39´47´´                                
15860                                        224°01´59´´                                 261°57´28´´                                 209°39´47´´                                
15969                                        224°01´59´´                                 261°57´28´´                                 209°52´58´´                                
16078                                        224°01´59´´                                 261°39´01´´                                 210°14´03´´                                
16188                                        224°01´59´´                                 261°28´28´´                                 210°14´03´´                                
16297                                        224°01´59´´                                 261°28´28´´                                 210°27´14´´                                
16406                                        224°01´59´´                                 261°25´50´´                                 210°27´14´´                                
16516                                        224°01´59´´                                 261°25´50´´                                 210°50´58´´                                
16625                                        224°01´59´´                                 261°49´34´´                                 211°25´15´´                                
16735                                        224°01´59´´                                 261°49´34´´                                 211°25´15´´                                
16844                                        224°01´59´´                                 262°08´01´´                                 211°51´37´´                                
16953                                        224°01´59´´                                 262°15´56´´                                 211°51´37´´                                
