Время                                       Угловой преобразователь 3 COM8 - Абсолютная Угловой преобразователь 2 COM8 - Абсолютная Угловой преобразователь 1 COM8 - Абсолютная 
* 0                                          223°56´43´´                                 261°41´39´´                                 205°45´07´´                                
507610                                       224°01´59´´                                 222°34´58´´                                 286°34´02´´                                
507719                                       224°01´59´´                                 222°34´58´´                                 291°24´04´´                                
507828                                       224°01´59´´                                 222°37´37´´                                 296°08´50´´                                
507938                                       224°01´59´´                                 222°56´04´´                                 296°08´50´´                                
508047                                       224°01´59´´                                 222°56´04´´                                 300°35´09´´                                
508156                                       224°01´59´´                                 223°32´59´´                                 300°35´09´´                                
508266                                       224°01´59´´                                 223°32´59´´                                 304°14´00´´                                
508375                                       224°01´59´´                                 224°38´54´´                                 307°00´07´´                                
508485                                       224°01´59´´                                 224°38´54´´                                 307°00´07´´                                
508594                                       224°01´59´´                                 226°00´38´´                                 309°01´24´´                                
508703                                       224°01´59´´                                 227°32´55´´                                 309°01´24´´                                
508813                                       224°01´59´´                                 227°32´55´´                                 309°51´30´´                                
508922                                       224°01´59´´                                 229°15´45´´                                 309°51´30´´                                
509031                                       224°01´59´´                                 229°15´45´´                                 309°46´13´´                                
509141                                       224°01´59´´                                 230°45´24´´                                 308°35´02´´                                
509250                                       224°01´59´´                                 232°04´30´´                                 308°35´02´´                                
509360                                       224°01´59´´                                 232°04´30´´                                 306°41´39´´                                
509469                                       224°01´59´´                                 233°07´47´´                                 306°41´39´´                                
509578                                       224°01´59´´                                 233°07´47´´                                 304°16´38´´                                
509688                                       224°01´59´´                                 233°44´42´´                                 301°14´42´´                                
509797                                       224°01´59´´                                 233°44´42´´                                 301°14´42´´                                
509906                                       224°01´59´´                                 233°55´15´´                                 297°43´46´´                                
510016                                       224°01´59´´                                 233°28´53´´                                 297°43´46´´                                
510125                                       224°01´59´´                                 233°28´53´´                                 293°51´44´´                                
510235                                       224°01´59´´                                 232°44´03´´                                 293°51´44´´                                
510344                                       224°01´59´´                                 232°44´03´´                                 289°46´31´´                                
510453                                       224°01´59´´                                 231°17´03´´                                 285°49´13´´                                
510563                                       224°01´59´´                                 229°50´02´´                                 285°49´13´´                                
510672                                       224°01´59´´                                 229°50´02´´                                 282°02´27´´                                
510781                                       224°01´59´´                                 228°36´12´´                                 282°02´27´´                                
510891                                       224°01´59´´                                 228°36´12´´                                 278°42´04´´                                
511000                                       224°01´59´´                                 227°38´12´´                                 275°45´24´´                                
511110                                       224°01´59´´                                 227°38´12´´                                 275°45´24´´                                
511219                                       224°01´59´´                                 227°01´17´´                                 273°33´34´´                                
511328                                       224°01´59´´                                 226°45´28´´                                 273°33´34´´                                
511438                                       224°01´59´´                                 226°45´28´´                                 272°11´50´´                                
511547                                       224°01´59´´                                 226°37´33´´                                 272°11´50´´                                
511656                                       224°01´59´´                                 226°37´33´´                                 271°48´06´´                                
511766                                       224°01´59´´                                 226°40´11´´                                 272°17´06´´                                
511875                                       224°01´59´´                                 226°42´49´´                                 272°17´06´´                                
511985                                       224°01´59´´                                 226°42´49´´                                 273°01´56´´                                
512094                                       224°01´59´´                                 226°58´39´´                                 273°01´56´´                                
512203                                       224°01´59´´                                 226°58´39´´                                 274°02´34´´                                
512313                                       224°01´59´´                                 227°09´11´´                                 275°21´40´´                                
512422                                       224°01´59´´                                 227°09´11´´                                 275°21´40´´                                
512531                                       224°01´59´´                                 227°25´01´´                                 276°48´41´´                                
512641                                       224°01´59´´                                 227°56´39´´                                 276°48´41´´                                
512750                                       224°01´59´´                                 227°56´39´´                                 278°23´36´´                                
512860                                       224°01´59´´                                 228°23´01´´                                 278°23´36´´                                
512969                                       224°01´59´´                                 228°23´01´´                                 280°03´48´´                                
513078                                       224°01´59´´                                 228°52´01´´                                 281°44´00´´                                
513188                                       224°01´59´´                                 229°18´23´´                                 281°44´00´´                                
513297                                       224°01´59´´                                 229°18´23´´                                 283°21´33´´                                
513406                                       224°01´59´´                                 229°50´02´´                                 283°21´33´´                                
513516                                       224°01´59´´                                 229°50´02´´                                 284°56´29´´                                
513625                                       224°01´59´´                                 230°00´35´´                                 286°41´57´´                                
513735                                       224°01´59´´                                 230°00´35´´                                 286°41´57´´                                
513844                                       224°01´59´´                                 230°11´07´´                                 288°22´08´´                                
513953                                       224°01´59´´                                 230°13´46´´                                 288°22´08´´                                
514063                                       224°01´59´´                                 230°13´46´´                                 289°51´47´´                                
514172                                       224°01´59´´                                 230°00´35´´                                 289°51´47´´                                
514281                                       224°01´59´´                                 230°00´35´´                                 291°05´37´´                                
514391                                       224°01´59´´                                 229°42´07´´                                 292°00´59´´                                
514500                                       224°01´59´´                                 229°28´56´´                                 292°00´59´´                                
514610                                       224°01´59´´                                 229°28´56´´                                 292°35´16´´                                
514719                                       224°01´59´´                                 229°18´23´´                                 292°35´16´´                                
514828                                       224°01´59´´                                 229°18´23´´                                 292°40´32´´                                
514938                                       224°01´59´´                                 229°23´40´´                                 292°24´43´´                                
515047                                       224°01´59´´                                 229°23´40´´                                 292°24´43´´                                
515156                                       224°01´59´´                                 229°34´13´´                                 291°39´54´´                                
515266                                       224°01´59´´                                 229°50´02´´                                 291°39´54´´                                
515375                                       224°01´59´´                                 229°50´02´´                                 290°28´42´´                                
515485                                       224°01´59´´                                 230°11´07´´                                 290°28´42´´                                
515594                                       224°01´59´´                                 230°11´07´´                                 289°09´36´´                                
515703                                       224°01´59´´                                 230°26´57´´                                 287°47´52´´                                
515813                                       224°01´59´´                                 230°34´51´´                                 287°47´52´´                                
515922                                       224°01´59´´                                 230°34´51´´                                 286°26´07´´                                
516031                                       224°01´59´´                                 230°34´51´´                                 286°26´07´´                                
516141                                       224°01´59´´                                 230°34´51´´                                 285°22´51´´                                
516250                                       224°01´59´´                                 230°13´46´´                                 284°38´01´´                                
516360                                       224°01´59´´                                 230°13´46´´                                 284°38´01´´                                
516469                                       224°01´59´´                                 229°44´45´´                                 284°16´56´´                                
516578                                       224°01´59´´                                 228°59´56´´                                 284°16´56´´                                
516688                                       224°01´59´´                                 228°59´56´´                                 284°16´56´´                                
516797                                       224°01´59´´                                 228°17´45´´                                 284°16´56´´                                
516906                                       224°01´59´´                                 228°17´45´´                                 284°22´12´´                                
517016                                       224°01´59´´                                 227°30´17´´                                 284°22´12´´                                
517125                                       224°01´59´´                                 226°56´00´´                                 284°22´12´´                                
517235                                       224°01´59´´                                 226°56´00´´                                 284°22´12´´                                
517344                                       224°01´59´´                                 226°29´38´´                                 284°22´12´´                                
517453                                       224°01´59´´                                 226°29´38´´                                 284°22´12´´                                
517563                                       224°01´59´´                                 226°05´55´´                                 284°11´39´´                                
517672                                       224°01´59´´                                 226°05´55´´                                 284°11´39´´                                
517781                                       224°01´59´´                                 226°05´55´´                                 284°01´06´´                                
517891                                       224°01´59´´                                 226°03´16´´                                 284°01´06´´                                
518000                                       224°01´59´´                                 226°03´16´´                                 283°53´12´´                                
518110                                       224°01´59´´                                 226°05´55´´                                 283°53´12´´                                
518219                                       224°01´59´´                                 226°05´55´´                                 283°50´33´´                                
518328                                       224°01´59´´                                 226°11´11´´                                 283°50´33´´                                
518438                                       224°01´59´´                                 226°34´55´´                                 283°50´33´´                                
518547                                       224°01´59´´                                 226°34´55´´                                 283°50´33´´                                
518656                                       224°01´59´´                                 226°53´22´´                                 283°50´33´´                                
518766                                       224°01´59´´                                 226°53´22´´                                 283°47´55´´                                
518875                                       224°01´59´´                                 227°32´55´´                                 283°40´01´´                                
518985                                       224°01´59´´                                 227°32´55´´                                 283°40´01´´                                
519094                                       224°01´59´´                                 228°15´07´´                                 283°37´22´´                                
519203                                       224°01´59´´                                 228°15´07´´                                 283°37´22´´                                
519313                                       224°01´59´´                                 229°10´29´´                                 283°37´22´´                                
519422                                       224°01´59´´                                 230°00´35´´                                 283°37´22´´                                
519531                                       224°01´59´´                                 230°00´35´´                                 283°37´22´´                                
519641                                       224°01´59´´                                 230°29´35´´                                 283°37´22´´                                
519750                                       224°01´59´´                                 230°29´35´´                                 283°37´22´´                                
519860                                       224°01´59´´                                 231°06´30´´                                 283°37´22´´                                
519969                                       224°01´59´´                                 231°30´14´´                                 283°37´22´´                                
520078                                       224°01´59´´                                 231°30´14´´                                 283°37´22´´                                
520188                                       224°01´59´´                                 231°48´41´´                                 283°37´22´´                                
520297                                       224°01´59´´                                 231°48´41´´                                 283°40´01´´                                
520406                                       224°01´59´´                                 231°56´36´´                                 283°40´01´´                                
520516                                       224°01´59´´                                 231°56´36´´                                 283°40´01´´                                
520625                                       224°01´59´´                                 231°56´36´´                                 283°26´50´´                                
520735                                       224°01´59´´                                 231°56´36´´                                 283°26´50´´                                
520844                                       224°01´59´´                                 231°56´36´´                                 283°24´11´´                                
520953                                       224°01´59´´                                 231°43´25´´                                 283°24´11´´                                
521063                                       224°01´59´´                                 231°43´25´´                                 283°21´33´´                                
521172                                       224°01´59´´                                 231°32´52´´                                 283°21´33´´                                
521281                                       224°01´59´´                                 231°19´41´´                                 283°21´33´´                                
521391                                       224°01´59´´                                 231°19´41´´                                 283°11´00´´                                
521500                                       224°01´59´´                                 231°19´41´´                                 283°11´00´´                                
521610                                       224°01´59´´                                 231°19´41´´                                 283°00´28´´                                
521719                                       224°01´59´´                                 231°38´08´´                                 282°42´00´´                                
521828                                       224°01´59´´                                 231°38´08´´                                 282°42´00´´                                
521938                                       224°01´59´´                                 232°15´03´´                                 282°26´11´´                                
522047                                       224°01´59´´                                 232°46´41´´                                 282°26´11´´                                
522156                                       224°01´59´´                                 232°46´41´´                                 282°05´05´´                                
522266                                       224°01´59´´                                 233°20´58´´                                 282°05´05´´                                
522375                                       224°01´59´´                                 233°20´58´´                                 281°38´43´´                                
522485                                       224°01´59´´                                 233°31´31´´                                 281°17´38´´                                
522594                                       224°01´59´´                                 233°26´15´´                                 281°17´38´´                                
522703                                       224°01´59´´                                 233°26´15´´                                 281°04´27´´                                
522813                                       224°01´59´´                                 233°10´25´´                                 281°04´27´´                                
522922                                       224°01´59´´                                 233°10´25´´                                 280°51´16´´                                
523031                                       224°01´59´´                                 232°38´47´´                                 280°35´26´´                                
523141                                       224°01´59´´                                 232°38´47´´                                 280°35´26´´                                
523250                                       224°01´59´´                                 232°09´47´´                                 280°30´10´´                                
523360                                       224°01´59´´                                 231°27´35´´                                 280°30´10´´                                
523469                                       224°01´59´´                                 231°27´35´´                                 280°30´10´´                                
523578                                       224°01´59´´                                 230°55´57´´                                 280°30´10´´                                
523688                                       224°01´59´´                                 230°55´57´´                                 280°32´48´´                                
523797                                       224°01´59´´                                 230°16´24´´                                 280°48´37´´                                
523906                                       224°01´59´´                                 229°23´40´´                                 280°48´37´´                                
524016                                       224°01´59´´                                 229°23´40´´                                 281°09´43´´                                
524125                                       224°01´59´´                                 228°54´40´´                                 281°09´43´´                                
524235                                       224°01´59´´                                 228°54´40´´                                 281°36´05´´                                
524344                                       224°01´59´´                                 228°41´29´´                                 281°59´49´´                                
524453                                       224°01´59´´                                 228°41´29´´                                 281°59´49´´                                
524563                                       224°01´59´´                                 228°41´29´´                                 282°15´38´´                                
524672                                       224°01´59´´                                 229°10´29´´                                 282°15´38´´                                
524781                                       224°01´59´´                                 229°10´29´´                                 282°20´55´´                                
524891                                       224°01´59´´                                 229°55´18´´                                 282°20´55´´                                
525000                                       224°01´59´´                                 229°55´18´´                                 282°13´00´´                                
525110                                       224°01´59´´                                 230°58´35´´                                 281°51´54´´                                
525219                                       224°01´59´´                                 232°12´25´´                                 281°51´54´´                                
525328                                       224°01´59´´                                 232°12´25´´                                 281°22´54´´                                
525438                                       224°01´59´´                                 233°07´47´´                                 281°22´54´´                                
525547                                       224°01´59´´                                 233°07´47´´                                 280°35´26´´                                
525656                                       224°01´59´´                                 234°05´48´´                                 279°42´42´´                                
525766                                       224°01´59´´                                 234°05´48´´                                 279°42´42´´                                
525875                                       224°01´59´´                                 234°37´26´´                                 278°34´09´´                                
525985                                       224°01´59´´                                 235°06´26´´                                 278°34´09´´                                
526094                                       224°01´59´´                                 235°06´26´´                                 277°20´19´´                                
526203                                       224°01´59´´                                 235°27´32´´                                 277°20´19´´                                
526313                                       224°01´59´´                                 235°27´32´´                                 276°09´08´´                                
526422                                       224°01´59´´                                 235°38´05´´                                 274°39´29´´                                
526531                                       224°01´59´´                                 235°22´15´´                                 274°39´29´´                                
526641                                       224°01´59´´                                 235°22´15´´                                 273°09´50´´                                
526750                                       224°01´59´´                                 234°32´10´´                                 273°09´50´´                                
526860                                       224°01´59´´                                 234°32´10´´                                 272°17´06´´                                
526969                                       224°01´59´´                                 233°36´47´´                                 271°56´00´´                                
527078                                       224°01´59´´                                 233°36´47´´                                 271°56´00´´                                
527188                                       224°01´59´´                                 232°38´47´´                                 272°14´28´´                                
527297                                       224°01´59´´                                 232°38´47´´                                 272°14´28´´                                
527406                                       224°01´59´´                                 232°01´52´´                                 272°54´01´´                                
527516                                       224°01´59´´                                 231°38´08´´                                 272°54´01´´                                
527625                                       224°01´59´´                                 231°38´08´´                                 274°05´12´´                                
527735                                       224°01´59´´                                 231°24´57´´                                 274°05´12´´                                
527844                                       224°01´59´´                                 231°24´57´´                                 275°24´18´´                                
527953                                       224°01´59´´                                 231°19´41´´                                 276°46´03´´                                
528063                                       224°01´59´´                                 231°22´19´´                                 276°46´03´´                                
528172                                       224°01´59´´                                 231°22´19´´                                 278°10´25´´                                
528281                                       224°01´59´´                                 231°32´52´´                                 278°10´25´´                                
528391                                       224°01´59´´                                 231°32´52´´                                 279°40´04´´                                
528500                                       224°01´59´´                                 231°46´03´´                                 281°30´49´´                                
528610                                       224°01´59´´                                 231°46´03´´                                 281°30´49´´                                
528719                                       224°01´59´´                                 231°53´57´´                                 283°42´39´´                                
528828                                       224°01´59´´                                 231°51´19´´                                 283°42´39´´                                
528938                                       224°01´59´´                                 231°51´19´´                                 285°51´51´´                                
529047                                       224°01´59´´                                 231°35´30´´                                 285°51´51´´                                
529156                                       224°01´59´´                                 231°35´30´´                                 288°03´41´´                                
529266                                       224°01´59´´                                 231°06´30´´                                 290°20´48´´                                
529375                                       224°01´59´´                                 230°26´57´´                                 290°20´48´´                                
529485                                       224°01´59´´                                 230°26´57´´                                 292°27´21´´                                
529594                                       224°01´59´´                                 230°13´46´´                                 292°27´21´´                                
529703                                       224°01´59´´                                 230°13´46´´                                 294°36´33´´                                
529813                                       224°01´59´´                                 230°00´35´´                                 296°24´40´´                                
529922                                       224°01´59´´                                 230°00´35´´                                 296°24´40´´                                
530031                                       224°01´59´´                                 230°05´51´´                                 297°51´40´´                                
530141                                       224°01´59´´                                 230°24´18´´                                 297°51´40´´                                
530250                                       224°01´59´´                                 230°24´18´´                                 298°54´57´´                                
530360                                       224°01´59´´                                 231°06´30´´                                 298°54´57´´                                
530469                                       224°01´59´´                                 231°06´30´´                                 299°16´03´´                                
530578                                       224°01´59´´                                 231°43´25´´                                 299°02´52´´                                
530688                                       224°01´59´´                                 232°28´14´´                                 299°02´52´´                                
530797                                       224°01´59´´                                 232°28´14´´                                 298°10´08´´                                
530906                                       224°01´59´´                                 233°02´31´´                                 298°10´08´´                                
531016                                       224°01´59´´                                 233°02´31´´                                 297°14´45´´                                
531125                                       224°01´59´´                                 233°13´03´´                                 296°32´34´´                                
531235                                       224°01´59´´                                 233°13´03´´                                 296°32´34´´                                
531344                                       224°01´59´´                                 233°10´25´´                                 296°08´50´´                                
531453                                       224°01´59´´                                 232°41´25´´                                 296°08´50´´                                
531563                                       224°01´59´´                                 232°41´25´´                                 295°50´23´´                                
531672                                       224°01´59´´                                 231°59´14´´                                 295°50´23´´                                
531781                                       224°01´59´´                                 231°59´14´´                                 295°47´45´´                                
531891                                       224°01´59´´                                 231°01´13´´                                 295°45´07´´                                
532000                                       224°01´59´´                                 230°19´02´´                                 295°45´07´´                                
532110                                       224°01´59´´                                 230°19´02´´                                 295°42´28´´                                
532219                                       224°01´59´´                                 229°44´45´´                                 295°42´28´´                                
532328                                       224°01´59´´                                 229°44´45´´                                 295°42´28´´                                
532438                                       224°01´59´´                                 229°26´18´´                                 295°42´28´´                                
532547                                       224°01´59´´                                 229°26´18´´                                 295°42´28´´                                
532656                                       224°01´59´´                                 229°18´23´´                                 295°42´28´´                                
532766                                       224°01´59´´                                 229°21´02´´                                 295°42´28´´                                
532875                                       224°01´59´´                                 229°21´02´´                                 295°50´23´´                                
532985                                       224°01´59´´                                 229°36´51´´                                 295°50´23´´                                
533094                                       224°01´59´´                                 229°36´51´´                                 295°50´23´´                                
533203                                       224°01´59´´                                 230°24´18´´                                 295°45´07´´                                
533313                                       224°01´59´´                                 231°09´08´´                                 295°45´07´´                                
533422                                       224°01´59´´                                 231°09´08´´                                 295°21´23´´                                
